question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,domain,requirement,difficulty,pcip_reference
"What is the purpose of an Attestation of Compliance (AOC)?","To list all vulnerabilities found during an assessment","To serve as a formal attestation summarizing the entity's compliance status, accompanying either a ROC or SAQ","To certify that a QSA is qualified to perform assessments","To document compensating controls",b,"An AOC is a formal attestation document that accompanies either a ROC or an SAQ. It serves as a summary-level document attesting to the entity's compliance status and is typically submitted to acquirers and payment brands.",4,,easy,PCI DSS Assessment Process
"Which organization approves and certifies Approved Scanning Vendors (ASVs)?","Visa","Mastercard","PCI SSC","The acquiring bank",c,"The PCI SSC approves and certifies ASVs. ASVs are companies (not individuals) that have met the PCI SSC's testing and quality requirements to perform external vulnerability scans.",4,,easy,PCI SSC Programs
"An Internal Security Assessor (ISA) is which of the following?","An external auditor hired by the merchant","An employee of the entity being assessed who is PCI SSC-certified to perform internal assessments","A government regulator","A payment brand representative",b,"An ISA is an employee of the entity being assessed who has been certified by the PCI SSC to perform internal PCI DSS assessments. ISAs can sign ROCs for their own organization in some cases.",4,,medium,PCI SSC Programs
"What is a PCI Forensic Investigator (PFI)?","An individual who performs annual PCI DSS assessments","A qualified entity that conducts independent forensic investigations of data breaches","A government law enforcement agent","An ASV technician who performs vulnerability scans",b,"A PFI is an entity qualified under the PCI SSC's PCI Forensic Investigator Program to conduct independent forensic investigations of data breaches. PFIs must work for a QSA company with a dedicated forensic investigation practice.",4,,medium,PCI SSC PFI Program
"During an assessment, which of the following methods do QSAs use to validate compliance?","Only automated scanning tools","Interview, observation, documentation review, and testing","Only documentation review","Self-reported questionnaires from the merchant",b,"QSAs use multiple assessment methods: interviewing personnel, observing processes and configurations, reviewing documentation (policies, procedures, configurations), and technical testing to validate that PCI DSS requirements are met.",4,,medium,PCI DSS Assessment Process
"After a non-compliant finding in a PCI DSS assessment, what must the entity do?","Pay a fine to the PCI SSC","Develop a remediation plan with timelines for achieving compliance","Immediately cease processing card transactions","File an appeal with the payment brands",b,"Non-compliant entities must develop remediation plans with specific timelines for achieving compliance. They may also need to complete a compensating controls worksheet for any requirements where compensating controls are used.",4,,medium,PCI DSS Remediation Process
"Who submits PCI DSS compliance documentation (AOC/ROC) to the payment brands?","The QSA directly","The entity being assessed","The entity's acquiring bank","The PCI SSC",c,"Typically, the acquiring bank (acquirer) is responsible for submitting compliance documentation to the payment brands. Merchants submit to their acquirer, and the acquirer may report compliance status to the payment brands.",4,,medium,PCI DSS Compliance Programs
"Penetration testing must include testing from which perspectives?","External only","Internal only","Both internal (inside the CDE and from trusted/untrusted internal networks) and external (from outside the network)","Only from within the CDE",c,"PCI DSS requires both internal and external penetration testing. Internal testing means testing from both inside the CDE and into the CDE from trusted and untrusted internal networks. External testing means testing the exposed external perimeter.",4,,medium,PCI DSS v4.0.1 Req 11.4.1
"If high-risk vulnerabilities are found during an ASV scan, what must occur?","The scan automatically fails and nothing more can be done","The vulnerabilities must be remediated and the entity must be rescanned until a passing scan is achieved","The entity can submit a false positive dispute only","The vulnerabilities are reported to law enforcement",b,"If vulnerabilities with a CVSS score of 4.0 or higher are found, the scan fails. The entity must remediate the vulnerabilities and be rescanned by the ASV until a passing (clean) scan is achieved.",4,,medium,ASV Program Guide
"The PCI SSC's Quality Assurance (QA) program serves what purpose?","To set interchange rates for payment brands","To oversee and verify the quality of assessments performed by QSAs","To process cardholder complaints","To manage the PCI DSS certification exam",b,"The PCI SSC maintains a QA program to oversee assessor quality. This includes reviewing completed ROCs and assessor work to ensure assessments are performed consistently and thoroughly across the industry.",4,,hard,PCI SSC QA Program
"Which of the following best describes the concept of sampling during a PCI DSS assessment?","The assessor can skip entire requirements if time is limited","The assessor may select a representative sample of system components and facilities for testing, provided the sample is justified and documented","Sampling is not permitted; every system must be tested","Only Level 4 merchants may use sampling",b,"During assessments, QSAs may use sampling of system components and facilities, but the sample must be representative, justified, documented, and validated. The assessor must confirm the sample is representative of all types and variations of the environment.",4,,hard,PCI DSS Assessment Process
"In the context of PCI DSS, what does 'Business as Usual' (BAU) refer to?","The normal day-to-day operations of a business","Incorporating PCI DSS requirements into ongoing daily, weekly, monthly, and annual operational processes rather than treating compliance as a point-in-time event","The period between annual assessments when no compliance activities occur","A type of compensating control",b,"BAU means incorporating PCI DSS security controls into ongoing operational processes and continuously maintaining, monitoring, and verifying those controls between assessments. PCI DSS compliance is an ongoing process, not a point-in-time event.",5,,easy,PCI DSS v4.0.1 BAU Guidance
"Under which Visa compliance program do merchants and service providers validate PCI DSS compliance?","Visa's Account Information Security (AIS) program","Visa's Cardholder Information Security Program (CISP)","Visa's Transaction Integrity Program (TIP)","Visa's Global Brand Protection Program",a,"Visa's Account Information Security (AIS) program (formerly CISP/AIS) is the compliance program under which merchants and service providers validate PCI DSS compliance. Mastercard's equivalent is the Site Data Protection (SDP) program.",5,,medium,Visa AIS Program
"What is the name of Mastercard's PCI DSS compliance program?","Mastercard Data Protection Program","Site Data Protection (SDP) Program","Mastercard Security Shield","SecureCode Compliance Program",b,"Mastercard's Site Data Protection (SDP) program is the compliance program for validating PCI DSS compliance for merchants and service providers on the Mastercard network.",5,,medium,Mastercard SDP Program
"Card brand fines for PCI DSS non-compliance are assessed against which entity?","The non-compliant merchant directly","The merchant's acquiring bank (who may pass costs to the merchant)","The PCI SSC","The issuing bank",b,"Card brands do not fine merchants directly. They assess fines and penalties against the acquiring bank (member), which then typically passes those costs through to the merchant per their merchant agreement.",5,,medium,Visa Core Rules / Mastercard Rules
"According to Mastercard's breach notification requirements, how quickly must a customer (acquirer) notify Mastercard of an Account Data Compromise (ADC) Event?","Within 7 days","Within 72 hours","Within 24 hours","Within 48 hours",c,"Per Mastercard SPME Section 10.3, the customer (acquirer) must notify Mastercard of the ADC Event or Potential ADC Event within 24 hours. Compromised PANs must be provided to Mastercard within 72 hours.",5,,hard,Mastercard SPME Section 10.3
"How quickly must compromised PANs be provided to Mastercard after an ADC Event?","Within 24 hours","Within 72 hours","Within 7 business days","Within 30 days",b,"Per Mastercard SPME Section 10.3, all PANs associated with account data actually or potentially compromised must be provided to Mastercard within 72 hours of the ADC Event notification.",5,,hard,Mastercard SPME Section 10.3
"After a forensic investigation of a data breach, how many days do Level 1 and Level 2 merchants have to achieve PCI DSS compliance according to Mastercard?","30 calendar days","90 calendar days","180 calendar days","365 calendar days",c,"Per Mastercard SPME Table 2.3, Level 1 and Level 2 merchants must achieve PCI DSS compliance (demonstrated by ROC AOC by QSA) within 180 calendar days of the conclusion of the forensic investigation. Service providers have only 90 days.",5,,hard,Mastercard SPME Table 2.3
"Service providers that have experienced a data breach must achieve compliance within how many days according to Mastercard?","30 calendar days","90 calendar days","180 calendar days","365 calendar days",b,"Per Mastercard SPME Table 2.3, compromised service providers must achieve PCI DSS compliance within 90 calendar days of the conclusion of the forensic investigation, which is shorter than the 180-day window for merchants.",5,,hard,Mastercard SPME Table 2.3
"What is the MATCH system in the context of payment card compliance?","A fraud detection algorithm used by issuers","Mastercard's terminated merchant database that effectively prevents merchants from obtaining new processing agreements","A compliance scoring system","An encryption standard for cardholder data",b,"MATCH (Member Alert To Control High-risk merchants) is Mastercard's database of terminated merchants. Being placed on MATCH effectively blacklists a merchant from obtaining payment processing with any acquirer for a period of time.",5,,medium,Mastercard Rules
"Which of the following became mandatory on March 31, 2025, as part of PCI DSS v4.0's future-dated requirements?","Requirement to use TLS 1.3 exclusively","Targeted risk analysis process for determining control frequencies","Requirement to encrypt all internal network traffic","Mandatory penetration testing every quarter",b,"The targeted risk analysis process (Requirement 12.3.1) and many other future-dated requirements in PCI DSS v4.0 became mandatory on March 31, 2025. These had been best practices since v4.0's release in March 2022.",5,,medium,PCI DSS v4.0.1 Timeline
"Under PCI DSS v4.0.1 Requirement 12.8.2, what must written agreements with TPSPs include?","The TPSP's annual revenue","The TPSP's written acknowledgment that it is responsible for the security of account data it possesses","The specific technology stack used by the TPSP","The TPSP's insurance policy details",b,"Requirement 12.8.2 requires written agreements with TPSPs that include the TPSP's acknowledgment of responsibility for the security of account data it stores, processes, or transmits on behalf of the customer.",5,,medium,PCI DSS v4.0.1 Req 12.8.2
"Requirement 12.9.2 (new in PCI DSS v4.0) requires TPSPs to do what?","Provide free ASV scans to their customers","Support customers' requests for information about PCI DSS compliance status and which requirements are the TPSP's responsibility","Perform penetration testing on behalf of their customers","Allow customers to audit their systems directly",b,"Requirement 12.9.2 requires TPSPs to respond to customer requests for information supporting PCI DSS compliance, including clarity on which requirements are the TPSP's responsibility, which are shared, and which fall on the customer.",5,,hard,PCI DSS v4.0.1 Req 12.9.2
"According to PCI DSS BAU guidance, which methodology frameworks are recommended for managing ongoing compliance?","Agile and Scrum","PDCA, ISO 27001, COBIT, DMAIC, and Six Sigma","ITIL and PRINCE2 only","SOX and HIPAA frameworks",b,"The PCI DSS v4.0.1 BAU guidance (Appendix A3) explicitly references Plan-Do-Check-Act (PDCA), ISO 27001, COBIT, DMAIC, and Six Sigma as frameworks for managing ongoing PCI DSS compliance.",5,,hard,PCI DSS v4.0.1 Appendix A3
"Under Mastercard's compliance program, when must an acquirer report merchant compliance status?","Annually by December 31","Twice yearly, before March 31 and September 30","Quarterly","Only when non-compliance is identified",b,"Acquirers must report to Mastercard on the compliance status of their merchants (Level 1-3 and Account Data Compromise) on a twice-yearly basis, with submissions due before March 31 and September 30.",5,,hard,Mastercard SDP Program
"Under PCI DSS Requirement 12.4.2, service providers must perform quarterly reviews of which activities?","Financial reports","Reviews confirming that personnel are following security policies and operational procedures, performed by personnel other than those responsible for the given task","Customer satisfaction surveys","Vendor contract reviews",b,"Requirement 12.4.2 requires service providers to perform reviews at least once every three months to confirm that personnel are following security policies and operational procedures. These reviews must be performed by personnel other than those responsible for the given task.",5,,hard,PCI DSS v4.0.1 Req 12.4.2
"Appendix A3 of PCI DSS v4.0.1 (Designated Entities Supplemental Validation) applies to which entities?","All merchants","All service providers","Entities designated by a payment brand as requiring additional validation","Only Level 4 merchants",c,"Appendix A3 (DESV) applies to entities designated by a payment brand as requiring additional validation of their PCI DSS compliance program. This typically includes entities that have experienced a breach or are otherwise considered high-risk.",5,,hard,PCI DSS v4.0.1 Appendix A3
"Which of the following is TRUE about outsourcing payment card processing to a PCI DSS-compliant service provider?","It eliminates the entity's PCI DSS obligations entirely","It reduces the entity's PCI DSS scope but does not eliminate responsibility for compliance","It means the entity no longer needs to complete any SAQ","It transfers all liability for data breaches to the service provider",b,"Outsourcing payment processing to a PCI DSS-compliant TPSP can reduce scope but does not eliminate PCI DSS responsibility. The entity must still manage the TPSP relationship per Requirements 12.8/12.9 and maintain compliance with applicable requirements.",5,,medium,PCI DSS v4.0.1 TPSP Guidance
"What are the six goals of PCI DSS?","Build secure networks; Protect account data; Manage vulnerabilities; Control access; Monitor and test; Maintain security policies","Encrypt data; Control access; Test systems; Monitor networks; Train staff; Respond to incidents","Install firewalls; Change passwords; Encrypt PAN; Restrict access; Log events; Write policies","Assess risk; Implement controls; Test effectiveness; Document findings; Remediate gaps; Report compliance",a,"The six goals are: (1) Build and Maintain a Secure Network and Systems, (2) Protect Account Data, (3) Maintain a Vulnerability Management Program, (4) Implement Strong Access Control Measures, (5) Regularly Monitor and Test Networks, (6) Maintain an Information Security Policy.",2,,medium,PCI DSS v4.0.1 Overview
"Which requirements fall under Goal 1: Build and Maintain a Secure Network and Systems?","Requirements 1 and 2","Requirements 3 and 4","Requirements 5 and 6","Requirements 7, 8, and 9",a,"Goal 1 covers Requirement 1 (Install and Maintain Network Security Controls) and Requirement 2 (Apply Secure Configurations to All System Components).",2,,medium,PCI DSS v4.0.1 Overview
"PCI DSS v4.0.1 was released in what month and year?",March 2022,June 2024,March 2025,January 2023,b,"PCI DSS v4.0 was released in March 2022. PCI DSS v4.0.1 was released in June 2024 as a minor revision (errata) to v4.0, not a new major version.",2,,medium,PCI DSS Version History
"When did PCI DSS v3.2.1 officially sunset?","December 31, 2023","March 31, 2024","June 30, 2024","December 31, 2024",b,"PCI DSS v3.2.1 was officially sunset on March 31, 2024. After that date, all assessments must use PCI DSS v4.0 or v4.0.1.",2,,medium,PCI DSS Version History
"What does SAQ A-EP apply to?","Merchants using standalone dial-out terminals","E-commerce merchants that partially outsource payment processing but whose website can impact the security of the payment transaction","Merchants using a validated P2PE solution","Service providers of any size",b,"SAQ A-EP is for e-commerce merchants that partially outsource payment processing. Unlike SAQ A (fully outsourced), SAQ A-EP applies when the merchant's website plays a role in directing cardholder data to the service provider, even though the merchant doesn't store or process it directly.",2,,hard,PCI DSS SAQ Instructions
"An entity discovers cardholder data received accidentally through an unintended channel. What are the two acceptable options under PCI DSS?","Delete it or report it to the payment brand","Include the channel in CDE scope and secure it per PCI DSS, or securely delete the data and prevent future receipt through that channel","Encrypt it and store it for 90 days, or forward it to the acquirer","There is only one option: immediately destroy it",b,"PCI DSS provides two options when CHD/SAD is accidentally received via an unintended channel: (1) include the channel in CDE scope and secure it per PCI DSS, or (2) securely delete the data and implement measures to prevent the channel from being used for such data in the future.",2,,hard,PCI DSS v4.0.1 Scoping Guidance
"Encryption of cardholder data with strong cryptography is sufficient by itself to remove the data from PCI DSS scope. True or false?","True -- encryption renders data out of scope","False -- encryption alone is generally insufficient to render cardholder data out of scope","True -- but only if the encryption keys are stored separately","False -- but only for service providers, not for merchants",b,"Encryption alone is generally insufficient to render cardholder data out of scope for PCI DSS. Systems performing encryption/decryption, key management, and encrypted cardholder data not isolated from those processes remain in scope.",2,,hard,PCI DSS v4.0.1 Scoping Guidance
"Under PCI DSS, which of the following is NOT one of the 12 principal requirements?","Install and maintain network security controls","Protect stored account data","Implement data loss prevention","Restrict physical access to cardholder data",c,"Implement data loss prevention is not one of the 12 PCI DSS requirements. While DLP may be a good security practice, it is not a specific PCI DSS requirement. The 12 requirements focus on network security, data protection, vulnerability management, access control, monitoring, and policies.",2,,easy,PCI DSS v4.0.1 Overview
"Which PCI DSS requirement addresses the protection of stored account data?",Requirement 1,Requirement 3,Requirement 7,Requirement 10,b,"Requirement 3: Protect Stored Account Data. This covers data retention policies, rendering PAN unreadable, encryption key management, and rules about SAD storage.",3,3,easy,PCI DSS v4.0.1 Req 3
"Under Requirement 6.5, what must be in place before changes are deployed to production systems?","Management approval only","Documented change control procedures including impact analysis, testing, and approval","A full penetration test for each change","Customer notification",b,"Requirement 6.5 requires that changes to all system components are managed securely through documented change control procedures that include documentation of impact, approval by authorized parties, testing, and back-out procedures.",3,6,medium,PCI DSS v4.0.1 Req 6.5
"PCI DSS Requirement 9.4 requires what regarding media containing cardholder data?","It must be stored in a locked room","It must be physically secured, inventoried, and securely destroyed when no longer needed","It must be encrypted at all times","It must be stored offsite only",b,"Requirement 9.4 requires that media with cardholder data is physically secured, controlled during internal/external distribution, and destroyed when no longer needed for business or legal reasons using methods that render data unrecoverable.",3,9,medium,PCI DSS v4.0.1 Req 9.4
"The Visa non-compliance assessment for a Tier 1 (Core Rule) violation starts at what amount?","USD 1,000","USD 5,000","USD 25,000","USD 50,000",c,"Per Visa Core Rules Section 1.11.2, Tier 1 non-compliance assessments start at USD 25,000 (Level 1) after a USD 1,000 Compliance Case Fee and escalate by USD 25,000 each month (up to USD 150,000 at Level 6, then continuing to increase).",5,,hard,Visa Core Rules Section 1.11.2
"Visa's most serious non-compliance category (Significant Violations) can result in assessments of up to what amount?","USD 100,000","USD 250,000","USD 500,000","USD 1,000,000",d,"Per Visa Core Rules Section 1.11.2.6, Significant Violations can result in initial assessments of USD 50,000, escalating to USD 50,000 to USD 1,000,000 each month at Visa's discretion until the violation is corrected.",5,,hard,Visa Core Rules Section 1.11.2.6
"A PFI must work for what type of organization?","Any IT consulting firm","A QSA company that operates a dedicated forensic investigation practice","A government law enforcement agency","The payment brand itself",b,"A PFI must work for a QSA company that operates a dedicated forensic investigation practice. Additionally, the entity cannot use its own QSA as its PFI if that QSA performed the most recent PCI DSS assessment (conflict of interest).",4,,hard,PCI SSC PFI Program Guide
"The PCI DSS 'defined approach' differs from the 'customized approach' in that the defined approach requires what?","Meeting requirements using the specific controls prescribed in the standard","Creating custom controls from scratch","Hiring a QSA to define the controls","Using only automated tools for compliance",a,"The defined approach requires meeting PCI DSS requirements using the specific controls prescribed in the standard. The customized approach allows meeting the stated Customized Approach Objective through alternative means, with additional validation requirements.",4,,medium,PCI DSS v4.0.1 Approaches
"When recording phone calls where cardholder data is spoken, what is the impact on SAQ eligibility?","No impact on SAQ eligibility","The entity is automatically classified as SAQ D","The entity can still use SAQ C-VT","Recording can continue if calls are encrypted",b,"Recording phone calls containing cardholder data automatically forces the entity to complete SAQ D, as the recorded data constitutes stored cardholder data in an electronic format. This significantly increases the compliance burden.",2,,hard,PCI DSS SAQ Guidance
"How many questions does SAQ D for merchants contain (approximately)?","31 questions","48 questions","251 questions","269 questions",c,"SAQ D for merchants contains approximately 251 questions. SAQ D for service providers is even longer at approximately 269 questions. By comparison, SAQ A has only 31 questions and SAQ P2PE has only 21.",4,,medium,PCI DSS SAQ Instructions
"Under Requirement 7.2.4, how frequently must user accounts and access privileges be reviewed?","Monthly","At least once every six months","At least once every 12 months","Only when employees leave the organization",b,"Requirement 7.2.4 requires that all user accounts and related access privileges are reviewed at least once every six months to ensure they remain appropriate. This includes verifying that access is still authorized and at the appropriate level.",3,7,medium,PCI DSS v4.0.1 Req 7.2.4
"Requirement 1.2.7 requires that configurations of network security controls (NSCs) must be reviewed at what minimum frequency?","Monthly","Quarterly","At least once every six months","At least once every 12 months",c,"Requirement 1.2.7 requires that configurations of NSCs are reviewed at least once every six months to confirm they are relevant and effective. This review ensures outdated or unnecessary rules are removed.",3,1,medium,PCI DSS v4.0.1 Req 1.2.7
"What does PCI DSS Requirement 12.10.7 (new in v4.0) require?","Annual incident response training","Procedures for detecting and responding to stored PAN found anywhere it is not expected","Monthly security awareness bulletins","Automated incident response systems",b,"Requirement 12.10.7 requires incident response procedures for detection of stored PAN where it is not expected, including clear identification of roles for escalation, actions for retrieval/deletion/migration, and checking for co-located SAD.",3,12,hard,PCI DSS v4.0.1 Req 12.10.7
"Which requirement mandates the use of time-synchronization technology (such as NTP) for all critical system clocks?",Requirement 8,Requirement 10,Requirement 11,Requirement 12,b,"Requirement 10.6.1 requires time-synchronization technology to synchronize all critical system clocks and times, and that systems receive time from industry-accepted time sources. This is critical for correlating events across audit logs.",3,10,medium,PCI DSS v4.0.1 Req 10.6
"Requirement 11.2.1 addresses what type of security control?","Wireless access point detection","Application code review","Physical security patrols","Employee background checks",a,"Requirement 11.2.1 requires authorized and unauthorized wireless access points to be managed, including maintaining an inventory of authorized access points and detecting unauthorized wireless access points at least quarterly.",3,11,medium,PCI DSS v4.0.1 Req 11.2.1
"PCI DSS Requirement 2.2.3 specifies that primary functions requiring different security levels must be handled how?","On the same server with logical separation","On separate system components (virtual or physical)","Using different user accounts on the same system","With firewall rules between functions",b,"Requirement 2.2.3 requires that primary functions requiring different security levels are managed on separate system components, either virtual or physical, to prevent lower-security functions from compromising higher-security functions.",3,2,hard,PCI DSS v4.0.1 Req 2.2.3
"How frequently must a risk assessment be performed under PCI DSS Requirement 12.3.2?","Monthly","Quarterly","At least once every 12 months","Only when significant changes occur",c,"Requirement 12.3.2 requires that a targeted risk analysis is performed for each PCI DSS requirement that specifies a targeted risk analysis, at least once every 12 months.",3,12,medium,PCI DSS v4.0.1 Req 12.3.2
"The PCI SSC manages several security standards beyond PCI DSS. Which of the following is one of them?","SOX (Sarbanes-Oxley)","PCI PTS (PIN Transaction Security)","ISO 27001","NIST Cybersecurity Framework",b,"The PCI SSC manages several standards including PCI DSS, PCI PTS (PIN Transaction Security), PA-DSS/Software Security Framework, PCI P2PE (Point-to-Point Encryption), PCI 3DS, PCI Card Production, and PCI Token Service Provider standards.",1,,medium,PCI SSC Standards
"EMV 3-D Secure is primarily designed to prevent fraud in which type of transaction environment?","Card-present (in-store)","Card-not-present (e-commerce)","ATM transactions","Wire transfers",b,"EMV 3-D Secure (3DS) is designed to prevent card-not-present (CNP) fraud in e-commerce transactions. It enables issuer authentication of the cardholder during online purchases through risk-based step-up challenges.",1,,medium,EMV 3DS Overview
"Under PCI DSS, what is 'tokenization'?","A method of transmitting data over secure channels","Replacing PAN with a surrogate value (token) that has no exploitable value if breached","A type of multi-factor authentication","A network segmentation technique",b,"Tokenization replaces the PAN with a surrogate value (token) that has no exploitable meaning or value. The original PAN is stored in a secure token vault. Tokenization can be used to reduce PCI DSS scope.",3,3,medium,PCI DSS v4.0.1 Glossary
"What is 'truncation' in the context of PCI DSS?","Removing the expiration date from stored data","A method of rendering a full PAN unreadable by permanently removing a segment of the PAN","Shortening the encryption key length","Reducing the number of log entries stored",b,"Truncation is a method of rendering a full PAN unreadable by permanently removing a segment of PAN data. Unlike masking (which applies to displays), truncation relates to protection of PAN when stored, processed, or transmitted. Truncated PAN cannot be reconstructed.",3,3,medium,PCI DSS v4.0.1 Glossary
"What year did the EMV liability shift take effect in the United States?",2013,2015,2017,2019,b,"The EMV liability shift took effect in the US on October 1, 2015. After this date, merchants that did not support EMV chip transactions became liable for any counterfeit fraud that occurred on chip-capable cards at their non-chip terminals.",1,,medium,EMV Liability Shift
"How many SAQ types exist under PCI DSS v4.0.1?",5,8,10,12,c,"As of PCI DSS v4.0.1, there are ten SAQ types: A, A-EP, B, B-IP, C, C-VT, D (Merchant), D (Service Provider), P2PE, and SPoC (introduced in v4.0).",2,,hard,PCI DSS v4.0.1 SAQ Instructions
"The PCI SSC was formed by combining the individual security programs of the five founding payment brands. What was Visa's program called?","Account Information Security (AIS)","Cardholder Information Security Program (CISP)","Visa Data Security Program","Visa Payment Protection",b,"Visa's original program was the Cardholder Information Security Program (CISP), which was one of the individual brand security programs that were combined when the PCI SSC was formed in 2006 and PCI DSS became the unified standard.",1,,hard,PCI SSC History
"Under Requirement 12.8.4, at what minimum frequency must an entity monitor TPSPs' PCI DSS compliance status?","Quarterly","Semi-annually","At least once every 12 months","Only at contract renewal",c,"Requirement 12.8.4 requires a program to monitor TPSPs' PCI DSS compliance status at least once every 12 months. This can include reviewing the TPSP's AOC or checking their listing on a payment brand's compliant service provider list.",3,12,medium,PCI DSS v4.0.1 Req 12.8.4
