question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,domain,requirement,difficulty,pcip_reference
"Under PCI DSS v4.0.1, compensating controls are permitted under which validation approach?","Compensating controls are permitted under both the defined and customized approaches","Compensating controls are only permitted under the customized approach, not the defined approach","Compensating controls are permitted under the defined approach; they are not an option with the customized approach because the entity designs its own controls","Compensating controls are not permitted under either approach in PCI DSS v4.0.1",c,"PCI DSS v4.0.1 Appendix D explicitly states that compensating controls are not an option with the customized approach. Because the customized approach allows an entity to determine and design the controls needed to meet a requirement's Customized Approach Objective, compensating controls are not needed. Compensating controls remain available only under the defined approach.",4,,hard,PCI DSS v4.0.1 Appendix D
"What is the primary purpose of the Visa Global Registry of Service Providers?",To list all merchants that accept Visa cards worldwide,"To publicly list service providers that have validated PCI DSS compliance and met Visa program requirements",To track acquirers that have been fined for non-compliance,To provide a database of PCI Forensic Investigators approved by Visa,b,"The Visa Global Registry of Service Providers is a publicly accessible database listing service providers that have been registered by a Visa client, validated PCI DSS compliance via an on-site QSA assessment, and met applicable Visa program requirements. It is updated monthly and serves as a due diligence resource for clients and merchants.",5,,medium,Visa AIS Program
"Under Mastercard's SDP Program, what happens to a service provider whose PCI DSS Attestation of Compliance (AOC) is more than 90 days past due?",The service provider receives a formal warning letter,The service provider is removed from the SDP Compliant Registered Service Provider List,The service provider's acquirer is automatically placed in the MATCH system,The service provider is given a 30-day grace period to submit a compliance action plan,b,"On Mastercard's SDP Compliant Registered Service Provider List, AOCs that are 1-60 days late are flagged in yellow, AOCs 61-90 days late are flagged in red, and service providers whose AOCs are more than 90 days past due are removed from the list entirely.",5,,medium,Mastercard SDP Program
"Under Visa's rules, when must a Third Party Agent be registered with Visa relative to its contracted services?",Within 30 days of beginning contracted services,Within 90 days of beginning contracted services,Before the performance of any contracted services or transaction activity,Within 60 days of the acquirer's request to register,c,"Per Visa Core Rules Section 1.9.8.6, a member must register a Third Party Agent with Visa, and registration must be completed before the performance of any contracted services or transaction activity. Visa may deny or reject a Third Party Agent's registration at any time with or without cause.",5,,easy,Visa Core Rules
"Mastercard requires customers to register service providers and provide all required information within what timeframe of the registration application submission date?",15 days,30 days,60 days,90 days,b,"Mastercard Rules require customers to register any Service Provider and provide all information and material required by the Corporation within 30 days of the registration application submission date. Failure to comply subjects the customer to noncompliance assessments of up to USD 25,000 for each 30-day period of noncompliance.",5,,easy,Mastercard Rules
"What is the key benefit of Visa's Technology Innovation Program (TIP) for qualifying merchants?",Reduced interchange rates on all chip transactions,Elimination of the annual PCI DSS compliance validation requirement,Waiver of all Visa acquirer monitoring program thresholds,Automatic enrollment in Visa's breach protection insurance,b,"Visa's TIP eliminates the requirement for eligible merchants to annually validate PCI DSS compliance in any year where at least 75% of their Visa transactions originate from chip-enabled terminals. However, TIP only waives the validation exercise -- merchants must still maintain full PCI DSS compliance at all times.",5,,medium,Visa TIP Program
"To qualify for Visa's Technology Innovation Program (TIP) in the United States, which terminal capability is required?",Contact chip-only terminals,Contactless-only terminals,Dual-interface terminals supporting both EMV contact and contactless chip acceptance,Magnetic-stripe terminals with end-to-end encryption,c,"In the U.S., qualifying TIP terminals must be enabled to support both EMV contact and contactless chip acceptance, including mobile contactless payments based on NFC technology. Contact chip-only or contactless-only terminals do not qualify for the U.S. program.",5,,hard,Visa TIP Program
"The PCI PA-DSS program was officially retired in October 2022 and replaced by the PCI Software Security Framework (SSF). Which two standards make up the SSF?",Secure Software Standard and Secure SLC Standard,Secure Application Standard and Secure SDLC Standard,Payment Software Standard and Vendor Security Standard,Application Security Standard and Code Review Standard,a,"The PCI Software Security Framework consists of two standards: the Secure Software Standard (the direct successor to PA-DSS, focused on payment software security requirements) and the Secure SLC (Software Lifecycle) Standard (a new standard that validates vendors' secure software development processes throughout the entire software lifecycle).",5,,medium,PCI SSC Standards
"Under Mastercard's SDP Program, the Cybersecurity Incentive Program (CSIP) provides eligible merchants using EMV technology or PCI-listed solutions with which benefit?",Reduced interchange fees on all card-present transactions,"Increased flexibility within SDP standards, including potential elimination of annual PCI DSS compliance validation",Automatic Level 2 merchant classification regardless of transaction volume,Exemption from forensic investigation requirements after a data breach,b,"Mastercard's CSIP incentivizes merchant participation by either reducing PCI compliance validation requirements or eliminating the requirement to annually validate compliance with PCI DSS. It is available to eligible merchants using EMV technology, a PCI-listed solution, or a suite of cybersecurity and risk management tools.",5,,hard,Mastercard SDP Program
"The PCI PIN Security Requirements standard mandates recertification on what cycle?",Every 12 months,Every 24 months,Every 36 months,Every 48 months,b,"PCI PIN Security compliance recertification occurs every 24 months. The standard covers secure management, processing, and transmission of PIN data during online and offline payment card transaction processing, with particular focus on cryptographic key management and HSM security.",5,,medium,PCI PIN Security Standard
"Under Visa's Account Information Security (AIS) program, how frequently must an acquirer report and verify its merchants' PCI DSS compliance status to Visa?",Monthly,Quarterly,At least every 6 months,Annually,c,"Per Visa Core Rules, a member must report and verify to Visa, at least every 6 months, its merchants' status of PCI DSS compliance. This is comparable to Mastercard's semiannual SDP Acquirer Submission requirement for Level 1 and Level 2 merchants.",5,,hard,Visa Core Rules
"Under Mastercard's rules, what is the consequence when a service provider that handles cardholder data is registered but cannot yet demonstrate PCI DSS compliance?",The registration is rejected and must be resubmitted after compliance is achieved,"The Corporation must be provided and must approve a compliance action plan, except for Type I TPPs",The service provider is given automatic provisional listing for 12 months,The acquirer must absorb all liability and no further action is needed,b,"Per Mastercard Rules Section 7.9, for a proposed service provider that is not yet compliant with PCI DSS, the Corporation must be provided and must approve a compliance action plan. However, a compliance plan is not acceptable for Type I TPP Service Providers, which must demonstrate compliance before registration can be completed.",5,,hard,Mastercard Rules
"PCI Card Production and Provisioning security requirements are organized into which two complementary sets of requirements?",Network Security Requirements and Application Security Requirements,Physical Security Requirements and Logical Security Requirements,Hardware Security Requirements and Software Security Requirements,Personnel Security Requirements and Facility Security Requirements,b,"PCI Card Production and Provisioning standards are divided into Physical Security Requirements and Logical Security Requirements, which are complementary to each other. These standards cover all card production activities including card manufacture, printing, embossing, encoding, mailing, and mobile provisioning.",5,,hard,PCI SSC Standards
